asn,prefix,as_path
394308,1.2.0.0/16,394497 6939 13536 5738 10753 1 1
32491,1.2.0.0/16,394644 174 5738 10753 1 1
395339,1.2.0.0/16,394453 701 9498 10026 4657 12025 10753 1 1
395267,1.2.0.0/16,394453 701 9498 10026 4657 12025 10753 1 1
53406,1.2.0.0/16,394437 3356 10753 1 1
25618,1.2.0.0/16,394437 3356 10753 1 1
18634,1.2.0.0/16,394284 174 5738 10753 1 1
64211,1.2.0.0/16,393713 43531 5738 10753 1 1
36326,1.2.0.0/16,393713 43531 5738 10753 1 1
18953,1.2.0.0/16,393713 43531 5738 10753 1 1
14536,1.2.0.0/16,393667 2914 7029 63264 1 1
14308,1.2.0.0/16,393552 3356 10753 1 1
27023,1.2.0.0/16,393536 3356 10753 1 1
35957,1.2.0.0/16,393521 22773 286 25418 1 1
46807,1.2.0.0/16,393476 33287 3356 10753 1 1
22933,1.2.0.0/16,393223 23520 3549 10753 1 1
37232,1.2.0.0/16,327814 12491 6453 25418 1 1
327778,1.2.0.0/16,327795 6453 25418 1 1
37218,1.2.0.0/16,327795 6453 25418 1 1
33558,1.2.0.0/16,327775 11259 174 5738 10753 1 1
22572,1.2.0.0/16,327693 6939 13536 5738 10753 1 1
265159,1.2.0.0/16,265365 28598 6939 13536 5738 10753 1 1
264599,1.2.0.0/16,265337 10429 3549 10753 1 1
53226,1.2.0.0/16,264943 262434 6939 13536 5738 10753 1 1
264586,1.2.0.0/16,264596 28210 6939 13536 5738 10753 1 1
264967,1.2.0.0/16,264595 14840 6939 13536 5738 10753 1 1
61825,1.2.0.0/16,264564 28257 6939 13536 5738 10753 1 1
263674,1.2.0.0/16,264556 28263 6939 13536 5738 10753 1 1
263515,1.2.0.0/16,264539 61568 6939 13536 5738 10753 1 1
265331,1.2.0.0/16,264531 6939 13536 5738 10753 1 1
264878,1.2.0.0/16,264528 262468 6939 13536 5738 10753 1 1
61746,1.2.0.0/16,264415 6939 13536 5738 10753 1 1
61638,1.2.0.0/16,264415 6939 13536 5738 10753 1 1
52904,1.2.0.0/16,264415 6939 13536 5738 10753 1 1
52897,1.2.0.0/16,264415 6939 13536 5738 10753 1 1
263865,1.2.0.0/16,264268 6939 13536 5738 10753 1 1
61646,1.2.0.0/16,264216 262407 52610 6939 13536 5738 10753 1 1
61660,1.2.0.0/16,264150 12989 2516 2510 10026 4657 12025 10753 1 1
61941,1.2.0.0/16,264144 6939 13536 5738 10753 1 1
264122,1.2.0.0/16,264135 6939 13536 5738 10753 1 1
264557,1.2.0.0/16,264332 3549 10753 1 1
61732,1.2.0.0/16,263968 28329 6939 13536 5738 10753 1 1
265067,1.2.0.0/16,263955 28202 6939 13536 5738 10753 1 1
265073,1.2.0.0/16,263903 6939 13536 5738 10753 1 1
263947,1.2.0.0/16,263840 263650 6939 13536 5738 10753 1 1
203335,1.2.0.0/16,263713 52468 1299 7029 63264 1 1
265294,1.2.0.0/16,263665 6762 4657 12025 10753 1 1
265061,1.2.0.0/16,263665 6762 4657 12025 10753 1 1
265038,1.2.0.0/16,263665 6762 4657 12025 10753 1 1
264999,1.2.0.0/16,263665 6762 4657 12025 10753 1 1
263986,1.2.0.0/16,263665 6762 4657 12025 10753 1 1
52843,1.2.0.0/16,263649 53169 3549 10753 1 1
265085,1.2.0.0/16,263645 6939 13536 5738 10753 1 1
262656,1.2.0.0/16,263631 262589 3549 10753 1 1
264965,1.2.0.0/16,263616 28145 3549 10753 1 1
264908,1.2.0.0/16,263616 28145 3549 10753 1 1
53049,1.2.0.0/16,263616 28145 3549 10753 1 1
52615,1.2.0.0/16,263579 14282 6939 13536 5738 10753 1 1
265192,1.2.0.0/16,263546 6939 13536 5738 10753 1 1
264204,1.2.0.0/16,263546 6939 13536 5738 10753 1 1
61737,1.2.0.0/16,263546 6939 13536 5738 10753 1 1
61734,1.2.0.0/16,263546 6939 13536 5738 10753 1 1
61685,1.2.0.0/16,263536 6939 13536 5738 10753 1 1
53110,1.2.0.0/16,263531 23106 3549 10753 1 1
61674,1.2.0.0/16,263434 6939 13536 5738 10753 1 1
264120,1.2.0.0/16,263423 26615 3549 10753 1 1
264289,1.2.0.0/16,263422 4230 3549 10753 1 1
264879,1.2.0.0/16,263400 3549 10753 1 1
52675,1.2.0.0/16,263353 10733 6939 13536 5738 10753 1 1
263974,1.2.0.0/16,263327 6939 13536 5738 10753 1 1
262951,1.2.0.0/16,263327 6939 13536 5738 10753 1 1
61876,1.2.0.0/16,263327 6939 13536 5738 10753 1 1
61837,1.2.0.0/16,263327 6939 13536 5738 10753 1 1
52563,1.2.0.0/16,263314 6939 13536 5738 10753 1 1
265383,1.2.0.0/16,263311 174 5738 10753 1 1
262943,1.2.0.0/16,263311 174 5738 10753 1 1
264978,1.2.0.0/16,263297 6939 13536 5738 10753 1 1
264121,1.2.0.0/16,263297 6939 13536 5738 10753 1 1
264050,1.2.0.0/16,263260 26615 3549 10753 1 1
265352,1.2.0.0/16,263259 52965 3549 10753 1 1
265396,1.2.0.0/16,263151 26615 3549 10753 1 1
263255,1.2.0.0/16,263143 28191 6939 13536 5738 10753 1 1
61824,1.2.0.0/16,263124 6939 13536 5738 10753 1 1
61753,1.2.0.0/16,263124 6939 13536 5738 10753 1 1
52546,1.2.0.0/16,263089 6939 13536 5738 10753 1 1
52946,1.2.0.0/16,263080 6939 13536 5738 10753 1 1
61790,1.2.0.0/16,263066 28368 6939 13536 5738 10753 1 1
52923,1.2.0.0/16,263054 6939 13536 5738 10753 1 1
264429,1.2.0.0/16,263047 3356 10753 1 1
61761,1.2.0.0/16,263047 3356 10753 1 1
52793,1.2.0.0/16,263047 3356 10753 1 1
52776,1.2.0.0/16,263047 3356 10753 1 1
61865,1.2.0.0/16,263009 28260 174 5738 10753 1 1
263919,1.2.0.0/16,262999 53242 6939 13536 5738 10753 1 1
264166,1.2.0.0/16,262997 52956 16735 4809 15412 15802 57187 43531 5738 10753 1 1
52536,1.2.0.0/16,262997 52956 16735 4809 15412 15802 57187 43531 5738 10753 1 1
263159,1.2.0.0/16,262996 3549 10753 1 1
265023,1.2.0.0/16,262989 3549 10753 1 1
61810,1.2.0.0/16,262988 6939 13536 5738 10753 1 1
61916,1.2.0.0/16,262977 28171 6939 13536 5738 10753 1 1
52938,1.2.0.0/16,262949 6939 13536 5738 10753 1 1
52618,1.2.0.0/16,262949 6939 13536 5738 10753 1 1
61641,1.2.0.0/16,262948 6939 13536 5738 10753 1 1
264884,1.2.0.0/16,262907 6939 13536 5738 10753 1 1
264174,1.2.0.0/16,262901 6939 13536 5738 10753 1 1
61919,1.2.0.0/16,262868 6939 13536 5738 10753 1 1
53219,1.2.0.0/16,262854 12989 2516 2510 10026 4657 12025 10753 1 1
52659,1.2.0.0/16,262854 12989 2516 2510 10026 4657 12025 10753 1 1
61885,1.2.0.0/16,262851 23106 3549 10753 1 1
52741,1.2.0.0/16,262851 23106 3549 10753 1 1
52695,1.2.0.0/16,262851 23106 3549 10753 1 1
28231,1.2.0.0/16,262848 3549 10753 1 1
263133,1.2.0.0/16,262847 6939 13536 5738 10753 1 1
52679,1.2.0.0/16,262832 28126 6939 13536 5738 10753 1 1
52535,1.2.0.0/16,262832 28126 6939 13536 5738 10753 1 1
265172,1.2.0.0/16,262819 262589 3549 10753 1 1
53040,1.2.0.0/16,262808 6939 13536 5738 10753 1 1
263497,1.2.0.0/16,262785 23106 3549 10753 1 1
264499,1.2.0.0/16,262773 3549 10753 1 1
262692,1.2.0.0/16,262766 23106 3549 10753 1 1
61755,1.2.0.0/16,262761 6939 13536 5738 10753 1 1
52927,1.2.0.0/16,262761 6939 13536 5738 10753 1 1
28194,1.2.0.0/16,262761 6939 13536 5738 10753 1 1
52789,1.2.0.0/16,262760 6939 13536 5738 10753 1 1
264208,1.2.0.0/16,262748 3549 10753 1 1
265114,1.2.0.0/16,262743 12989 2516 2510 10026 4657 12025 10753 1 1
52800,1.2.0.0/16,262743 12989 2516 2510 10026 4657 12025 10753 1 1
